Title,Authors,Language,Categories,Average Rating,Maturity Rating,Publisher,Published Date,Page Count,Edition type,Translated,Top Selling
"How to make your life work, or, Why aren't you happy?",E. Greenlee,Español,Geology,3.5,Not mature,Penguin,1868,745,Physical,No,Europe
Presidential Follies,Horace Lorenzo,Español,English literature,4.0,Not mature,Oxford University,1974,365,Physical,Yes,Europe
Person to Person,Matthew S. Mccormick,Español,Mathematical ,1.0,Not mature,IGI Global,1884,254,Physical,Yes,Europe
Small Press Record of Books in Print,Alan Dershowitz,Español,Business & Economics,3.0,Not mature,Oxford University,2016,256,Physical,Yes,Central America
The Internal Revenue Record and Customs Journal,Henry Smith,Español,Computers,2.0,Not mature,Oxford University,2010,354,Physical,No,North America
"The Tryals of Robert Charnock, Edward King, and Thomas Keyes",Henry Smith,Español,Business & Economics,4.5,Not mature,Oxford University,2018,644,Physical,Yes,Latin America
The Tryals and Condemnation of Robert Charnock,Henry Smith,Español,Biography,3.0,Not mature,Penguin,2010,271,Physical,No,Europe
"Hearing on H.R. 1231, the Davis-Bacon Reform Bill of 1993",Charles Don Keyes,Español,Mineral industries,3.5,Not mature,Penguin,2016,32,Physical,Yes,Europe
Naval War College Review,Charles Orville ,Español,Business & Economics,2.5,Not mature,Penguin,2019,156,Physical,Yes,Europe
The life of Elisha Williams Keyes,Charles Orville ,Español,Students,4.0,Not mature,Penguin,1985,307,Physical,Yes ,Europe
International Record of Medicine and General Practice Clinics,Michael Asher,Español,Technologists,4.5,Not mature,Yearling,1993,350,Physical,Yes ,Europe
The Mechanical Engineer's Pocket-book,Patent Office,Español,Technologists,5.0,Not mature,Open Court ,1890,657,Physical,Yes ,Europe
Carroll's State Directory,Van Draanen,Español,Architecture,3.0,Not mature,Open Court ,2011,780,Physical,Yes ,Europe
Milton and This Pendant World,Bevan Amberhill,Español,History,5.0,Not mature,CRC Press,2002,874,Physical,Yes ,Europe
General McClellan's Peninsula Campaign,Henry Smith,Español,Geology,3.5,Not mature,CRC Press,2004,272,Physical,Yes ,Europe
Journal,Henry Smith,Español,English literature,4.5,Not mature,CRC Press,2003,245,Physical,Yes ,Europe
Journal of the Military Service Institution of the United States,Charles Don Keyes,Español,English literature,3.0,Not mature,CRC Press,2004,523,Physical,Yes ,Europe
The Story of One Regiment in the War of the Rebellion,Charles Orville ,Español,English literature,5.0,Not mature,CRC Press,1897,1254,Physical,Yes ,Europe
The War of the Rebellion,Charles Orville ,Español,English literature,2.0,Not mature,CRC Press,1890,523,Physical,Yes ,Europe
"Fifty Years' Observations of Men and Events, Civil and Military",Michael Asher,Español,Juvenile Fiction,3.0,Not mature,Carolina Press,1997,785,Physical,Yes ,Europe
"Fifty Years' Observation of Men and Events, Civil and Military",Patent Office,Español,Juvenile Fiction,1.0,Not mature,Oxford University,1973,125,Physical,Yes ,Europe
Report of Major-General B. McClellan,Van Draanen,Español,Juvenile Fiction,1.0,Not mature,Münster,1864,160,Physical,No,Europe
Reports of Committees,Bevan Amberhill,Español,Juvenile Fiction,4.0,Not mature,BookCaps ,1863,654,Physical,Yes ,Europe
All for the Union,Charles Stewart ,Español,Juvenile Fiction,1.0,Not mature,SAGE,2010,351,Physical,Yes ,Europe
The Keyed Bugle,Book-keeper publishing ,Español,Juvenile Fiction,3.0,Not mature,SAGE,2004,158,Physical,Yes ,Europe
Network-Aware Security for Group Communications,Laura Childs,Español,Juvenile Fiction,2.0,Not mature,SAGE,2009,500,Physical,No,Europe
Bluescreen Compositing,Laura Childs,Español,Juvenile Fiction,4.5,Not mature,SAGE,1983,694,Physical,Yes ,Europe
Advances in Computing and Communications,Vincent Virga,Español,Juvenile Fiction,3.0,Not mature,SAGE,1865,874,Physical,No,Europe
Basic Blueprint Reading and Sketching,Labor Relations Board,Español,Computers,3.5,Not mature,Cengage Learning ,2016,336,Physical,Yes ,Central America
Basic TV Technology,Investigate Food Short,Español,Juvenile Fiction,2.5,Not mature,SIAM,2016,304,Physical,Yes ,North America
Basic Radio,Food Commission,Español,Juvenile Fiction,4.0,Not mature,SIAM,2014,133,Physical,Yes ,Latin America
InfoWorld,Food Shortages,Español,Psychology,4.5,Not mature,CRC Press,2016,303,Physical,Yes ,Europe
The Gamification of Work,Food Commission,Español,Medical,5.0,Not mature,John Wiley & Sons,2010,451,Physical,No,Europe
NS Basic Programming for Palm OS,Wisconsin,Español,Psychology,3.0,Not mature,John Wiley & Sons,2016,425,Physical,Yes ,Europe
"Commerce, Justice, Science, and Related Agencies ",Steve Zimmerman,Español,Medical,5.0,Not mature,John Wiley & Sons,2004,288,Physical,Yes ,Europe
The Iron Age,Southeast Asia,Español,Psychology,3.0,Not mature,Springer,2016,528,Physical,Yes ,Europe
Chilton Automobile Directory,Kevin Timpe,Español,Medical,4.5,Not mature,Springer,2010,447,Physical,Yes ,Europe
American Machinist,Andrew Eshleman,Español,Fiction,3.0,Not mature,Springer,2011,481,Physical,Yes ,Europe
Directory of Environmental Life Scientists: Ohio River Valley region,Myung-Seok Oh,Español,Science,5.0,Not mature,Springer,2003,310,Physical,No,Europe
Thomas Register of American Manufacturers,Myung-Seok Oh,Español,Juvenile Fiction,2.0,Not mature,Springer,2001,224,Physical,Yes ,Europe
The Eclectic Library Catalog,David G. Truemper,Español,Medical,3.0,Not mature,Courier Corporation,1989,139,Physical,Yes ,Central America
Current Policies and Practices in European Social ,Alan Dershowitz,Español,Biography,1.0,Not mature,Courier Corporation,1989,139,Physical,No ,North America
Human Development in the Indian Context,E. Greenlee,Español,Business & Economics,1.0,Not mature,Courier Corporation,1909,2296,Physical,Yes,Latin America
Key Debates in Anthropology,Horace Lorenzo,Español,Business & Economics,3.5,Not mature,Penguin,2015,45,Physical,No,Europe
Social Adaptation to Food Stress,Matthew S. Mccormick,Español,Business & Economics,3.0,Not mature,Penguin,1995,476,Physical,No,Europe
Karma,Alan Dershowitz,Español,Computers,3.5,Not mature,Aspen Publishers ,1991,476,Physical,Yes ,North America
Anthropological Practice,Henry Smith,Español,Business & Economics,4.0,Not mature,DIA Publishing,2016,23,Physical,Yes ,Latin America
"Cultural Differences, the Nation State, and Rethinking Ethnicity ",Henry Smith,Español,Computers,3.5,Not mature,Wolters Kluwer ,1995,15,Physical,No ,North America
Current Policies and Practices in European Social Anthropology ,Henry Smith,Español,Biography ,2.0,Not mature,Penguin,1997,323,Physical,Yes,Central America
Applications of Anthropology,Charles Don Keyes,Español,Biography ,3.5,Not mature,Penguin,1931,500,Physical,No,North America
Southeast Asian Research Tools: Thailand,Charles Orville ,Español,History,4.0,Not mature,Academic Press,2016,528,Physical,Yes ,Europe
NASA technical note,Charles Orville ,Español,Biography & Autobiography,3.5,Not mature,Cambridge University ,1998,394,Physical,Yes ,North America
Technology Review,Michael Asher,Español,Psychology,3.5,Not mature,Penguin,1986,594,Physical,Yes ,Asia
Adams' New Musical Dictionary of Fifteen Thousand Technical ,Patent Office,Español,English literature,3.5,Not mature,Penguin,1996,586,Physical,Yes ,North America
Technical Research Note,Van Draanen,Español,Science,4.0,Not mature,Routledge,1991,2664,Physical,Yes ,Oceania
Refrigeration Engineering,Bevan Amberhill,Español,Dentistry,4.0,Not mature,Holt Paperbacks,2012,832,Physical,Yes ,North America
Sammy Keyes and the Art of Deception,Southeast Asia,Español,Geology,1.0,Not mature,Oxford University,1915,832,Physical,Yes ,North America
AB Bookman's Weekly,Kevin Timpe,Español,English literature,3.0,Not mature,Penguin,1968,564,Physical,Yes ,Asia
Sammy Keyes and the Search for Snake Eyes,Andrew Eshleman,Español,Mathematical ,2.0,Not mature,Penguin,2019,597,Physical,Yes ,North America
ACSA Annual Directory,Myung-Seok Oh,Español,Business & Economics,4.5,Not mature,Penguin,1961,940,Physical,Yes ,Oceania
The Play of Daniel Keyes' Flowers for Algernon,Myung-Seok Oh,Español,Computers,3.0,Not mature,Penguin,2006,584,Physical,Yes ,Oceania
The Southern Frontier 1670-1732,David G. Truemper,Español,Business & Economics,3.5,Not mature,Penguin,2010,356,Physical,Yes ,Latin America
Spanish Peaks Wilderness Area,Alan Dershowitz,Español,Biography,2.5,Not mature,Penguin,2011,304,Physical,No,Latin America
Spanish Peaks Wilderness Area,E. Greenlee,Español,Mineral industries,4.0,Not mature,Harper Collins,2012,536,Physical,Yes ,Latin America
Journal of the Iowa Archeological Society,Horace Lorenzo,Español,Business & Economics,4.5,Not mature,Penguin,2006,208,Physical,Yes ,Central America
School Achievement and Failure in Portuguese and Spanish ,Matthew S. Mccormick,Español,Students,5.0,Not mature,Penguin,2009,26,Physical,Yes ,North America
World war in Spain,Alan Dershowitz,Español,Technologists,3.0,Not mature,Hachette UK,2017,252,Physical,No,Latin America
"The Southern Frontier, 1670-1732",Henry Smith,Español,Technologists,5.0,Not mature,Penguin,2011,226,Physical,Yes ,North America
"A Dictionarie in Spanish and English, first published ",Henry Smith,Español,Architecture,3.5,Not mature,Scarecrow Press,2016,504,Physical,No,North America
The Booklist,Henry Smith,Español,History,4.5,Not mature,Ballantine Books,2006,200,Physical,Yes ,Latin America
Rhode Island Historical Society Collections,Charles Don Keyes,Español,Geology,3.0,Not mature,Greenwood ,2010,736,Physical,Yes ,Asia
Biographical Memoirs,Charles Orville ,Español,English literature,5.0,Not mature,Routledge,1997,262,Physical,Yes ,Latin America
Journal of the Executive Proceedings of the Senate ,Charles Orville ,Español,English literature,2.0,Not mature,Henry Holt ,1995,528,Physical,Yes ,North America
Journal of the Executive Proceedings of the Senate,Michael Asher,Español,English literature,3.0,Not mature,Author House,2016,184,Physical,No,Latin America
Who Owns Whom,Patent Office,Español,Juvenile Fiction,1.0,Not mature,Penguin,2012,240,Physical,Yes ,Latin America
Journal of the Executive Proceedings of the Senate ,Van Draanen,Español,Medical,1.0,Not mature,Penguin,2003,304,Physical,Yes ,Latin America
All this is Louisiana,Bevan Amberhill,Español,Biography,4.0,Not mature,Oxford University,1988,175,Physical,Yes ,Asia
Southern Writers,Henry Smith,Español,Business & Economics,1.0,Not mature,Salem Pr Inc,2010,365,Physical,Yes ,Latin America
The Chess Players,Henry Smith,Español,Juvenile Fiction,3.0,Not mature,BookCaps ,2001,586,Physical,Yes ,Latin America
The Career of David Noble,Charles Don Keyes,Español,Juvenile Fiction,2.0,Not mature,Penguin,1968,66,Physical,No,Asia
Joy Street,Charles Orville ,Español,Computers,4.5,Not mature,Penguin,2022,304,Physical,Yes ,Latin America
Apple parers,Charles Orville ,Español,Business & Economics,3.0,Not mature,Penguin,1983,448,Physical,Yes ,Latin America
Holstein-Friesian Herd-book,Michael Asher,Español,Computers,3.5,Not mature,Penguin,1931,448,Physical,No ,Asia
The Canadian Record of Performance for Purebred Dairy Cattle,Patent Office,Español,Biography ,2.5,Not mature,Penguin,1995,800,Physical,Yes,Latin America
"Holstein-Friesian Herd-book, Containing a Record of All Holstein",Van Draanen,Español,Biography ,4.0,Not mature,Penguin,2006,384,Physical,No,Latin America
Holstein-Friesian Herd Book,Bevan Amberhill,Español,History,4.5,Not mature,Penguin,2017,160,Physical,No,Asia
InfoWorld,Charles Stewart ,Español,Biography & Autobiography,5.0,Not mature,Penguin,1998,400,Physical,Yes ,Latin America
The Azusa Street Mission and Revival,Book-keeper publishing ,Español,Psychology,3.0,Not mature,Yearling,2015,426,Physical,Yes ,Central America
InfoWorld,Laura Childs,Español,English literature,5.0,Not mature,Yearling,2011,316,Physical,No ,Europe
Sammy Keyes and the Search for Snake Eyes,Laura Childs,Español,Science,3.0,Not mature,Penguin,1991,163,Physical,Yes,Central America
Apple TV Portable Genius,Jessica Keyes,Español,Dentistry,4.5,Not mature,Penguin,1989,530,Physical,No,North America
AFPTRC-TN.,James Dickey,Español,Geology,3.0,Not mature,Psychology Press,2012,2416,Physical,Yes ,Latin America
AFPTRC-TN.,M. Keyes,Español,English literature,5.0,Not mature,Penguin,1983,188,Physical,Yes ,Europe
Advances in Cryptology – EUROCRYPT 2001,Martina Handler,Español,Mathematical ,2.0,Not mature,Penguin,2011,1746,Physical,Yes ,Europe
Manuals Combined: U.S. Army Special Forces And Navy Operational,BookCaps ,Español,Business & Economics,3.0,Not mature,Oxford University,2010,207,Physical,Yes ,Europe
AFHRL-TR.,Richard M. Lerner,Español,Computers,1.0,Not mature,IGI Global,1996,328,Physical,Yes ,Central America
"Huffed Masculinity. The Female Threat in Cain's ""Double Indemnity""",I. Durham,Español,Business & Economics,1.0,Not mature,Oxford University,2009,645,Physical,Yes ,North America
Teaching Students with Mental Retardation,I. Durham,Español,Biography,3.5,Not mature,Oxford University,1986,546,Physical,Yes ,Latin America
Bibliographic Guide to Dance,Ruth Roy Harris,Español,Mineral industries,3.0,Not mature,Oxford University,2009,46,Physical,Yes ,Europe
Human Motivation and Interpersonal Relationships,Ruth Roy Harris,Español,Business & Economics,3.5,Not mature,Penguin,2014,704,Physical,Yes ,Europe
How Mentally Handicapped Children Learn Under Classroom ,Cengage Learning,Español,Students,4.0,Not mature,Penguin,2004,96,Physical,Yes ,Europe
The life of Elisha Williams Keyes,David E. Keyes,Español,Technologists,3.5,Not mature,Penguin,2016,865,Physical,Yes ,Europe
Capitol Threat,Dept. of Commerce,Español,Technologists,2.0,Not mature,SAGE,2016,66,Physical,Yes ,Europe
Outrageous fortune,Jessica Keyes,Español,Architecture,3.5,Not mature,SAGE,2016,240,Physical,No,Europe
Film Noir,Jessica Keyes,Español,History,4.0,Not mature,Cengage Learning ,1981,176,Physical,Yes ,Europe
History of an idea,Jessica Keyes,Español,Geology,3.5,Not mature,SIAM,1991,320,Physical,Yes ,Europe
Assignment to catastrophe,Bureau of Mines,Español,English literature,3.5,Not mature,SIAM,1915,304,Physical,Yes ,Europe
Assignment to catastrophe,Elizabeth Walsh,Español,English literature,3.5,Not mature,CRC Press,2010,320,Physical,No,Europe
Destiny,Elizabeth Walsh,Español,English literature,4.0,Not mature,John Wiley & Sons,1997,22,Physical,Yes ,Europe
Henry Wilson and the Coming of the Civil War,Elizabeth Walsh,Español,English literature,2.0,Not mature,John Wiley & Sons,1909,11,Physical,No,Europe
The Hotline,Elizabeth Walsh,Español,Juvenile Fiction,3.5,Not mature,John Wiley & Sons,2011,383,Physical,Yes ,Europe
Bulletin,Association of Colleg,Español,Juvenile Fiction,4.0,Not mature,Springer,2021,275,Physical,Yes ,Europe
The University Geological Survey of Kansas,Norman Polmar,Español,Juvenile Fiction,3.5,Not mature,Springer,2006,103,Physical,Yes ,Europe
State Geological Survey of Kansas,Mineral Resources,Español,Juvenile Fiction,3.5,Not mature,Springer,1989,436,Physical,Yes ,Europe
Reports on the University Geological Survey of Kansas,Mineral Resources,Español,Juvenile Fiction,2.0,Not mature,Springer,1865,337,Physical,No,Europe
Special Report on Coal,Maureen Callahan,Español,Juvenile Fiction,3.5,Not mature,Springer,2006,313,Physical,Yes ,Europe
State Geological Survey of Kansas. [Reports],Maureen Callahan,Español,Juvenile Fiction,4.0,Not mature,Courier Corporation,2011,45,Physical,Yes ,Europe
State Geological Survey of Kansas,Casenotes,Español,Juvenile Fiction,3.5,Not mature,Courier Corporation,1989,286,Physical,Yes ,Europe
Proceedings of the Board of Regents,William T. Coyle,Español,Juvenile Fiction,3.5,Not mature,Courier Corporation,2016,271,Physical,Yes ,Europe
Language Planning Processes,Casenote Legal ,Español,Education,4.0,Not mature,Penguin,1980,353,Physical,Yes ,Europe
The life of Elisha Williams Keyes,Phil Geusz,Español,Education,2.0,Not mature,Penguin,1961,304,Physical,No,Central America
Sexual Symmetry,Amber Vogel,Español,Education,3.5,Not mature,Aspen Publishers ,2016,80,Physical,Yes ,North America
Beginning Blender,Magyar-Moe,Español,Education,4.0,Not mature,DIA Publishing,2016,227,Physical,Yes ,Latin America
Molecular Symmetry and Spectroscopy,Teresa L. Scheid,Español,Juvenile Fiction,3.5,Not mature,Wolters Kluwer ,2015,564,Physical,No ,Europe
Identification and System Parameter Estimation,Timothy P Melchert,Español,Medical,3.5,Not mature,Penguin,2019,985,Physical,Yes,Europe
Proceedings of the ... Midwest Symposium on Circuits and Systems,Jessica Keyes,Español,Biography,5.0,Not mature,Penguin,2016,356,Physical,No,Europe
The Development of Optically Active Three-fold Symmetric Ligands ,Charles Don Keyes,Español,Business & Economics,3.0,Not mature,Academic Press,1998,425,Physical,No,Europe
Solid State Physics,Ralph Keyes,Español,Business & Economics,5.0,Not mature,Cambridge University ,2007,745,Physical,Yes ,Europe
Journal of Electronics,Sandro Galea,Español,Business & Economics,3.0,Not mature,Penguin,2012,658,Physical,Yes ,Europe
Acta Numerica 1994:,F. Din,Español,Computers,4.5,Not mature,Penguin,2010,115,Physical,No ,Europe
Refined techniques for blind equalization of phase shift keyed (PSK) ,F. Din,Español,Business & Economics,3.0,Not mature,Routledge,2012,128,Physical,Yes,Europe
"Grief Counseling and Grief Therapy, Fifth Edition",Graeme Simsion,English,Computers,5.0,Not mature,Holt Paperbacks,2010,203,Physical,No,Europe
Advanced Practice Nursing in the Care of Older Adults,Janet Clark,English,Biography ,2.0,Not mature,Oxford University,1980,315,Physical,Yes,Central America
Small Treasons,Greg Keyes,English,Biography ,3.0,Not mature,Penguin,2002,288,Physical,No,North America
Sammy Keyes and the Power of Justice Jack,Marian Keyes,English,History,1.0,Not mature,Penguin,2009,240,Physical,Yes,Latin America
Sammy Keyes and the Psycho Kitty Queen,Marian Keyes,English,Biography & Autobiography,1.0,Not mature,Penguin,1987,400,Physical,No,Europe
Sammy Keyes and the Search for Snake Eyes,Douglas Menville,English,Psychology,3.5,Not mature,Penguin,1987,296,Physical,Yes,Europe
Angels,Greg Keyes,English,English literature,3.0,Not mature,Penguin,1987,219,Physical,Yes,North America
Arranging Grief,George Mann,English,Science,3.5,Not mature,Penguin,1988,704,Physical,Yes,Latin America
Principles and Practice of Grief Counseling,Marian Keyes,English,Dentistry,4.0,Not mature,Harper Collins,1988,362,Physical,No,North America
Charles Henry Keyes,James A. Kaser,English,Geology,3.5,Not mature,Penguin,1987,400,Physical,Yes,Central America
"Transforming Engagement, Happiness and Well-Being",J. Gregory Keyes,English,English literature,2.0,Not mature,Penguin,1992,374,Physical,No,North America
The Army of the Potomac: Birth of command,J. Gregory Keyes,English,Mathematical ,3.5,Not mature,Hachette UK,1989,406,Physical,Yes,Europe
The Army of the Potomac,Michael Burke,English,Business & Economics,4.0,Not mature,Penguin,2000,356,Physical,Yes,North America
Sammy Keyes and the Hollywood Mummy,Rick Atkinson,English,Computers,3.5,Not mature,Scarecrow Press,1992,623,Physical,Yes,Asia
Sammy Keyes and the Kiss Goodbye,Kerry Reis,English,Business & Economics,3.5,Not mature,Ballantine Books,2012,687,Physical,No,North America
Sammy Keyes and the Art of Deception,Frank N. Magill,English,Biography,3.5,Not mature,Greenwood ,1898,745,Physical,Yes,Oceania
Beauty and Sadness,James J. Lee,Árabe,Mineral industries,4.0,Not mature,Routledge,2013,365,Physical,No,North America
Sushi for Beginners,Jay Riley Case,Árabe,Business & Economics,2.0,Not mature,Henry Holt ,2014,254,Physical,Yes,North America
Look Back In Sadness: One Man's Experience with Psychiatry,Charles Edward May,Árabe,Students,3.5,Not mature,Author House,1981,256,Physical,Yes,Asia
The Hope and the Sadness,BookCaps Study,Árabe,Technologists,4.0,Not mature,Penguin,1913,354,Physical,Yes ,North America
Stabilizing the Prices of Certain Agricultural Products,John Kenneth Muir,Árabe,Technologists,3.5,Not mature,Penguin,1989,644,Physical,Yes ,Oceania
Translocal Geographies,John Kenneth Muir,Árabe,Architecture,3.5,Not mature,Oxford University,2009,271,Physical,Yes ,Oceania
Department of Agriculture and Related ,Patrice Cassedy,Árabe,History,2.0,Not mature,Salem Pr Inc,1983,32,Physical,Yes ,Latin America
Department of Agriculture and Related Agencies ,Patrice Cassedy,Árabe,Geology,3.5,Not mature,BookCaps ,1865,156,Physical,Yes ,Latin America
Pacific Rural Press,Janet Clark,Árabe,English literature,4.0,Not mature,Penguin,2016,307,Physical,Yes ,Latin America
"Agricultural Appropriation Bill for 1933, Hearings Before ",Van Draanen,Árabe,English literature,3.5,Not mature,Penguin,2016,350,Physical,Yes ,Central America
The Chemist,Van Draanen,Árabe,English literature,3.5,Not mature,Penguin,2014,657,Physical,Yes ,North America
Poultry Tribune,Van Draanen,Árabe,Juvenile Fiction,4.0,Not mature,Penguin,2016,780,Physical,Yes ,Latin America
"Report of the Auditor of the State of South Dakota, for the Fiscal ",Van Draanen,Árabe,Medical,2.0,Not mature,Penguin,2010,874,Physical,Yes ,North America
Proceedings of the 8th Pacific Science Congress of the Pacific ,Van Draanen,Árabe,Biography,3.5,Not mature,Penguin,2016,272,Physical,Yes ,North America
Poultry Success,John Caius ,Árabe,Business & Economics,4.0,Not mature,Penguin,2004,245,Physical,Yes ,Latin America
Cumulated Index Medicus,John Caius ,Árabe,Juvenile Fiction,3.5,Not mature,Penguin,2016,523,Physical,No,Asia
American Poultry Journal,Richard R. Valencia,Árabe,Juvenile Fiction,3.5,Not mature,Yearling,2010,1254,Physical,Yes ,Latin America
Poultry Processing and Marketing,Joseph Stewart,Árabe,Computers,5.0,Not mature,Yearling,2011,523,Physical,Yes ,North America
American Poultry Advocate,Joseph Stewart,Árabe,Business & Economics,3.0,Not mature,Penguin,2003,785,Physical,Yes ,Latin America
Governor's Budget,William A. Smalley,Árabe,Computers,5.0,Not mature,Penguin,2001,125,Physical,No,Latin America
Budget Submitted to the California Legislature,"Leone, Sabrina",Árabe,Biography ,3.0,Not mature,Psychology Press,1989,160,Physical,Yes ,Latin America
Extension Echoes,Raymond Wolters,Árabe,Biography ,4.5,Not mature,Penguin,1989,654,Physical,No,Asia
Albany City Directory,Wade Keyes,Árabe,History,3.0,Not mature,Penguin,1909,351,Physical,Yes ,Latin America
Canadian Poultry Review,E. Callahan,Árabe,Biography & Autobiography,5.0,Not mature,Oxford University,2015,158,Physical,Yes ,Latin America
Institute Of Biblical Studies The Book Of Genesis,Abbas Tashakkori,Español,Psychology,2.0,Not mature,IGI Global,1995,500,Physical,Yes ,Asia
International Monetary Fund Annual Report 2007,Abbas Tashakkori,Español,English literature,3.0,Not mature,Oxford University,1991,694,Physical,Yes ,Latin America
Mitteilungen der Münchner Entomologischen Gesellschaft,Maureen Callahan,Español,Science,1.0,Not mature,Oxford University,2016,874,Physical,No,Latin America
الانا الواقعية والذاتية,Gavin Mortimer,Español,Dentistry,1.0,Not mature,Oxford University,1995,336,Physical,Yes ,Asia
نحو تقويم جديد للكتابة العربية,,Español,Geology,3.5,Not mature,Penguin,1997,304,Physical,Yes ,Latin America
The Ways of Men (Arabic Edition),,Español,English literature,3.0,Not mature,Penguin,1931,133,Physical,Yes ,Latin America
مقامات الحريري - [اصفر],,Español,Mathematical ,3.5,Not mature,Penguin,2016,303,Physical,Yes ,Asia
Tales and Fantasies (Arabic Edition),,Español,Business & Economics,4.0,Not mature,Oxford University,1998,451,Physical,Yes ,Latin America
Genetics of Psychological Well-Being,,Español,Computers,3.5,Not mature,Oxford University,1986,425,Physical,No,Central America
Encyclopedia of Genetics,State Historical ,Español,Business & Economics,2.0,Not mature,Penguin,1996,288,Physical,Yes ,Europe
Compendium of Problems in Genetics,State Historical ,Español,Biography,3.5,Not mature,Penguin,1991,528,Physical,Yes ,Central America
Studies in the Genetics of Drosophila,Finis Welch,Español,Mineral industries,4.0,Not mature,Penguin,2012,447,Physical,No ,North America
Bioethical and Evolutionary Approaches to Medicine and the Law,Sharon Martin Zankel,Español,Business & Economics,3.5,Not mature,Oxford University,1915,481,Physical,Yes,Latin America
Sammy Keyes and the Psycho Kitty Queen,Bruce Barber,Español,Students,3.5,Not mature,IGI Global,1968,310,Physical,No,Europe
Cardiovascular Genetics and Genomics in Clinical Practice,Gail Furman,Español,Technologists,3.5,Not mature,Oxford University,2019,224,Physical,No,Europe
American Men and Women of Science,Ralph Keyes,Español,Technologists,4.0,Not mature,Oxford University,1961,139,Physical,Yes ,Europe
"Reproductive Genetics, Gender and the Body",Joshua M. Dunn,Español,Architecture,2.0,Not mature,Oxford University,2006,139,Physical,Yes ,Central America
Molecular Genetics of Sex Determination,James E. Ryan,Español,History,3.5,Not mature,Penguin,2010,2296,Physical,No ,North America
"Bibliography of North American Geology, 1933 and 1934",William M. ,Español,Geology,4.0,Not mature,Penguin,2011,45,Physical,Yes,Latin America
Contributions to Economic Geology (short Papers and Preliminary,Bureau ,Español,English literature,3.5,Not mature,Penguin,2012,476,Physical,No,Europe
Bulletin,Stephan Thernstrom,Español,English literature,3.5,Not mature,SAGE,2006,476,Physical,Yes ,Europe
Invisible Master,David E. Keyes,Español,English literature,2.0,Not mature,SAGE,2009,23,Physical,Yes ,Europe
Enochian Magic for Beginners,Charles Orville ,Español,English literature,3.5,Not mature,Cengage Learning ,2017,15,Physical,Yes ,Europe
The Mexican American and the Law,Charles Orville ,Español,Juvenile Fiction,4.0,Not mature,SIAM,2011,323,Physical,Yes ,Europe
Justice for Salcido,Michael Asher,Español,Juvenile Fiction,3.5,Not mature,SIAM,2016,500,Physical,Yes ,Europe
Annual,Patent Office,Español,Business & Economics,3.5,Not mature,CRC Press,2006,528,Physical,Yes ,Europe
Yale journal of law & the humanities,Van Draanen,Español,History,4.0,Not mature,John Wiley & Sons,2010,394,Physical,Yes ,Europe
Merit and the Millennium,Bevan Amberhill,Español,Juvenile Fiction,2.0,Not mature,John Wiley & Sons,1997,594,Physical,Yes ,Europe
Man of the Mist,Southeast Asia,Español,Juvenile Fiction,3.5,Not mature,John Wiley & Sons,1995,586,Physical,Yes ,Europe
A Historical Guide to Henry David Thoreau,Kevin Timpe,Español,Technologists,4.0,Not mature,Springer,2016,2664,Physical,Yes ,Europe
Soul to soul,Andrew Eshleman,Español,Juvenile Fiction,3.5,Not mature,Yearling,2012,832,Physical,Yes ,Europe
The Lutheran,Myung-Seok Oh,Español,Juvenile Fiction,3.5,Not mature,Open Court ,2003,832,Physical,Yes ,Europe
Let's Go Soul Winning,Myung-Seok Oh,Español,Computers,5.0,Not mature,Open Court ,1988,564,Physical,No,Europe
Sammy Keyes and the Night of Skulls,David G. Truemper,Español,Juvenile Fiction,3.0,Not mature,CRC Press,2010,597,Physical,Yes ,Europe
The Science of the Soul in Colonial New England,Alan Dershowitz,Español,Juvenile Fiction,5.0,Not mature,CRC Press,2001,940,Physical,Yes ,Europe
The Keyes of the Kingdom of Heaven,E. Greenlee,Español,Psychology,3.0,Not mature,CRC Press,1968,584,Physical,Yes ,Europe
Sammy Keyes and the Kiss Goodbye,Horace Lorenzo,Español,Medical,4.5,Not mature,CRC Press,2022,356,Physical,No,Europe
Kahlil Gibran,Matthew S. Mccormick,Español,Psychology,3.0,Not mature,CRC Press,1983,304,Physical,Yes ,Europe
How to Teach Meditation to Children,Alan Dershowitz,Español,Medical,5.0,Not mature,CRC Press,1931,536,Physical,No,Europe
Human Rights in Thailand,Henry Smith,Español,Psychology,2.0,Not mature,Carolina Press,1995,208,Physical,Yes ,Europe
Thailand's International Meditation Centers,Henry Smith,Español,Medical,3.0,Not mature,Oxford University,2006,26,Physical,Yes ,Europe
Collected poems,Henry Smith,Español,Fiction,1.0,Not mature,Münster,2017,252,Physical,Yes ,Central America
Astral Travel,Charles Don Keyes,English,Science,1.0,Not mature,BookCaps ,1998,226,Physical,Yes ,North America
Making Fields of Merit,Charles Orville ,English,Juvenile Fiction,3.5,Not mature,SAGE,2015,504,Physical,No,Latin America
Meditation For Dummies,Charles Orville ,English,Juvenile Fiction,3.0,Not mature,SAGE,2011,200,Physical,Yes ,Europe
A meditation upon the Lord's prayer,Michael Asher,English,Computers,3.5,Not mature,SAGE,1991,736,Physical,Yes ,Europe
Letters on Occult Meditation,Patent Office,English,Juvenile Fiction,4.0,Not mature,SAGE,1989,262,Physical,Yes ,Europe
